Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Duke Ellington and Johnny Hodges	Side By Side	(9, 12)	You Need To Rock (Johnny Hodges)	Duke Ellington & Johnny Hodges	Side By Side	You Need To Rock (Johnny Hodges)	False	True	True
Duke Ellington and Johnny Hodges	Side By Side	(6, 12)	 Ted Koehler)	Duke Ellington & Johnny Hodges	Side By Side	Let's Fall In Love (Harold Arlen - Ted Koehler)	False	True	False
Duke Ellington and Johnny Hodges	Side By Side	(12, 12)	Loveless Love (Handy)	Duke Ellington & Johnny Hodges	Side By Side	Loveless Love (Handy)	False	True	True
Duke Ellington and Johnny Hodges	Side By Side	(1, 12)	Stompy Jones (Duke Ellington)	Duke Ellington & Johnny Hodges	Side By Side	Stompy Jones (Duke Ellington)	False	True	True
Duke Ellington and Johnny Hodges	Side By Side	(5, 12)	 Brown)	Duke Ellington & Johnny Hodges	Side By Side	Just A Memory (R. Henderson - B. DeSylva - L. Brown)	False	True	False
Duke Ellington and Johnny Hodges	Side By Side	(3, 12)	Big Shoe (Jimmy Hamilton)	Duke Ellington & Johnny Hodges	Side By Side	Big Shoe (Jimmy Hamilton)	False	True	True
Duke Ellington and Johnny Hodges	Side By Side	(4, 12)	Going Up (Duke Ellington)	Duke Ellington & Johnny Hodges	Side By Side	Going Up (Duke Ellington)	False	True	True
Duke Ellington and Johnny Hodges	Side By Side	(7, 12)	 Johnny Hodges)	Duke Ellington & Johnny Hodges	Side By Side	Ruint (Duke Ellington - Johnny Hodges)	False	True	False
Duke Ellington and Johnny Hodges	Side By Side	(11, 12)	Beale Street Blues (Handy)	Duke Ellington & Johnny Hodges	Side By Side	Beale Street Blues (Handy)	False	True	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Dave Stryker	Messin' with Mister T Celebrating the Music of Stanley Turrentine	(1, None)	 Houston Person)	Dave Stryker	Messin' with Mister T: Celebrating the Music of Stanley Turrentine	La Place Street (feat. Houston Person)	True	False	False
Dave Stryker	Messin' with Mister T Celebrating the Music of Stanley Turrentine	(2, None)	 Mike Lee)	Dave Stryker	Messin' with Mister T: Celebrating the Music of Stanley Turrentine	Pieces of Dreams (feat. Mike Lee)	True	False	False
Dave Stryker	Messin' with Mister T Celebrating the Music of Stanley Turrentine	(3, None)	 Don Braden)	Dave Stryker	Messin' with Mister T: Celebrating the Music of Stanley Turrentine	Don't Mess with Mister T (feat. Don Braden)	True	False	False
Dave Stryker	Messin' with Mister T Celebrating the Music of Stanley Turrentine	(4, None)	 Jimmy Heath)	Dave Stryker	Messin' with Mister T: Celebrating the Music of Stanley Turrentine	In a Sentimental Mood (feat. Jimmy Heath)	True	False	False
Dave Stryker	Messin' with Mister T Celebrating the Music of Stanley Turrentine	(5, None)	 Chris Potter)	Dave Stryker	Messin' with Mister T: Celebrating the Music of Stanley Turrentine	Impressions (feat. Chris Potter)	True	False	False
