Artist 	 Album
Clifford Brown	Brownie - The Complete Emarcy Recordings Of Clifford Brown
Clifford Brown	Brownie - The Complete Emarcy Recordings Of Clifford Brown
Clifford Brown	Brownie - The Complete Emarcy Recordings Of Clifford Brown
Clifford Brown	Brownie - The Complete Emarcy Recordings Of Clifford Brown
Clifford Brown	Brownie Eyes
Clifford Brown	Clifford Brown Jazz Immortal
Clifford Brown	Complete Blue Note And Pacific Jazz Recordings
Clifford Brown	Memorial Album
Clifford Brown	The Clifford Brown Sextet In Paris
Clifford Brown	With Gigi Gryce
Clifford Jordan	Cliff Craft
Clifford Jordan	Cliff Jordan
Clifford Jordan	Night Of The Mark Vii
Clifford Jordan	Spellbound
Clifford Jordan	Starting Time
Clifford Jordan & John Gilmore	Blowing In From Chicago
Coleman Hawkins	At Ease With Coleman Hawkins
Coleman Hawkins	Body & Soul
Coleman Hawkins	Hawk Eyes
Coleman Hawkins	The Bebop Years
Coleman Hawkins	The Bebop Years - Disc 3 (Cattin' At The Keynote)
Coleman Hawkins	The Bebop Years - Disc 4 (Picasso)
Coleman Hawkins	The Bebop Years Catttin' At Keynote
Coleman Hawkins	The Genius Of Coleman Hawkins
Coleman Hawkins & Ben Webster	Coleman Hawkins Encounters Ben Webster
Coleman Hawkins & Orchestra	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Coleman Ornette	Dedication To Poet And Writers
Conte Candoli And Lou Levy	West Coast Wailers
Count Basie	Basie One More Time
Count Basie	Count Basie And His Orchestra_ 1936-1938
Count Basie	Count Basie At Newport
Count Basie	The Complete Atomic Basie
Count Basie	The Jazz Collector Edition
Count Basie Orchestra	E=Mc2 A.K.A. The Atomic Basie
Cubana Bop	Can'T Stop Now
Curtis Amy With Dupree Bolton	California Cool. Blue Note West Coast Jazz Sampler
Curtis Counce Quintet	Explring The Future
Curtis Fuller	New Trombone
Danny Moss -  Roy Williams	Steam Power
Dave Brubeck	Jazz Goes To College
Dave Brubeck	Time Out
Dave Cliff	Sipping At Bells
Dave Green Trio	Live At The Blue Lamp 09_Mar_06
Dave O'Higgins	Under The Stone
Dave O'Higgins & Eric Alexander	Sketchbook
David Fathead Newman	The Sound Of The Wide Open Spaces
David Fathead Newman	Under A Woodstock Moon
David Janeway	Inside Out
Deborah Brown	Jazz4Jazz
Dexter Gordon	A Swingin' Affair
Dexter Gordon	Blows Hot And Cool
Dexter Gordon	Body And Soul
Dexter Gordon	Both Sides Of Mignight
Dexter Gordon	Charlie Parker Memorial Concert
Dexter Gordon	Complete Savoy & Dial Master Takes
Dexter Gordon	Dexter Calling
Dexter Gordon	Doin' Allright
Dexter Gordon	Go
Dexter Gordon	L.T.D. Live At The Left Bank
Dexter Gordon	Lester Young'S Disciples
Dexter Gordon	Live At The Amsterdam Paradiso
Dexter Gordon	Misty
Dexter Gordon	One Flight Up
Dexter Gordon	Our Man In Paris
Dexter Gordon	The Complete Blue Note Sixties Sessions
Dexter Gordon	The Resurgence Of Dexter Gordon
Dexter Gordon	The Squirrel
Dexter Gordon	Xxl _ Live At The Left Bank
Dexter Gordon & His Boys	Bebop Spoken Here - How High The Moon
Dexter Gordon & Slide Hampton	A Day In Copenhagen
Dexter Gordon & Teddy Edwards	Bebop Spoken Here - How High The Moon
Dexter Gordon - Wardell Gray	Bebop Spoken Here - Disc 2 (Confirmation)
Dexter Gordon - Wardell Gray	Citizens Bop
Dexter Gordon - Wardell Gray	Jazz West Coast Live - Hollywood Jazz, Vol.1
Dexter Gordon - Wardell Gray	Jazz West Coast Live - Hollywood Jazz, Vol.1
Dexter Gordon - Wardell Gray	The Chase And The Steeplechase
Dexter Gordon Quintet	Bebop Spoken Here - How High The Moon
Dick Griffin	Now Is The Time
Dick Hafer	Lester Young'S Disciples
Dick Morrisey	Here And Now And Sounding Good
Dick Morrisey	It'S Morrissey, Man!
Dick Morrisey	Storm Warning
Dizzy Gillespie	All Star Sessions Cd2
Dizzy Gillespie	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Dizzy Gillespie	Bebop Spoken Here - Disc 2 (Confirmation)
Dizzy Gillespie	Cognac Blues
Dizzy Gillespie	Dizzy Gillespie - World Statesman
Dizzy Gillespie	Dizzy Gillespie And Strings
Dizzy Gillespie	Dizzy Gillespie At Newport
Dizzy Gillespie	Dizzy Gillespie With Sonny Rollins And Sonny Stitt - Duets
Dizzy Gillespie	Dizzy Gillespie With Stuff Smith
Dizzy Gillespie	Gene Norman Presents - Dizzy Gillespie And His Orchestra
Dizzy Gillespie	Sittin' In With Dizzy Gillespie, Stan Getz, Coleman Hawkins And Paul Gonsalves
Dizzy Gillespie	Tour De Force
Dizzy Gillespie & His All Star Quintet	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Dizzy Gillespie & His Orchestra	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Dizzy Gillespie & His Orchestra	Bebop Spoken Here - Disc 2 (Confirmation)
Dizzy Gillespie & His Orchestra	Bebop Spoken Here - How High The Moon
Dizzy Gillespie & Stan Getz	Diz And Getz
Dizzy Gillespie All Stars	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Dizzy Gillespie Septet	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Dizzy Gillespie Sextet	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Dizzy Gillespie, Sonny Rollins & Sonny Stitt	Sonny Side Up
Dodo Marmarosa	Bebop Spoken Here - Disc 2 (Confirmation)
Dollar Brand	Abdullah Ibrahim _ South African Sunshine
Dollar Brand	Pre Abdullah Ibrahim
Dollar Brand	Round Midnight At The Montmartre
Don Byas	32 Don Byas Cd1 New York (1941-1946)
Don Byas	32 Don Byas Cd2 Paris (1947-1954)
Don Byas	Walkin
Don Grolnick	Complete Blue Note Recordings - A Weaver Of Dreams
Don Grolnick	Heart Of Darkness
Don Lanphere	Lester Young'S Disciples
Don Menza	Live At Carmelo'S
Don Rendell	Jazz Six Playtime
Don Thompson	For Kenny Wheeler
